Stimulus,Subset,ComposerSurname,ComposerName,Year,Work,Movement_Act_RehearsalNumber,Instrument,Instrumentation,Genre_Type,Pole,Notes,Melody,Tempo,TimeSignature,Mode,MinPitch(MIDI),MaxPitch(MIDI),PitchRange(MIDI distance),Duration(s)
S4,S,Bach,J. S.,ca. 1740,Canon,,-,Solo,Canon,Asymmetric,,S4,120,4/4,C-m,60,77,17,8.63
S5,S,Berg,A.,1935,Lulu,Act II,Various,Opera,Opera,Symmetric,,S5,50,4/4,-,60,97,37,4.40
S6,S,Berg,A.,1935,Lulu,Act II,Various,Opera,Opera,Asymmetric,,S6,140,4/4,-,61,97,36,3.86
S7,S,Haydn,F. J.,ca. 1772,Symphony No. 47 Hob. I/47,Menuet al roverso,Vl.,Orchestra,Minuet,Symmetric,,S7,420,3/4,G-M,62,81,19,8.57
S8,S,Haydn,F. J.,ca. 1785,12 Minuets Hob.IX:8,Minuet X,Pn.,Solo,Minuet,Asymmetric,,S8,168,3/4,G-M,67,84,17,8.57
S9,S,Haydn,F. J.,ca. 1772,Symphony No. 47 Hob. I/47,Trio al reverso,Vl.,Orchestra,Trio,Symmetric,,S9,120,3/4,G-M,74,84,10,3.33
S10,S,Haydn,F. J.,1787,Symphony Nr. 88,Trio,Vl.,Orchestra,Trio,Asymmetric,,S10,72,3/4,G-M,67,76,9,3.33
S11,S,Hindemith,P.,1942,Ludus Tonalis,Fuga tertia in F,Pn.,Solo,Fugue,Symmetric,,S11,130,4/4,-,65,75,10,9.23
S12,S,Hindemith,P.,1942,Ludus Tonalis,Fuga tertia in F,Pn.,Solo,Fugue,Asymmetric,,S12,120,4/4,-,65,77,12,9.25
S13,S,Machaut,G.,ca. 1350,Ma fin est mon commencement,Cantus,Voice,Choir,Rondeau,Symmetric,,S13,200,4/4,A-m,69,76,7,8.40
S14,S,Machaut,G.,ca. 1350,Ma fin est mon commencement,Triplum,Voice,Choir,Rondeau,Asymmetric,,S14,170,4/4,A-m,67,76,9,8.47
S15,S,Ravel,M.,1931,Concerto in G,9,Pn.,Solo–Orchestra,Concerto,Symmetric,,S15,60,3/4,-,56,85,29,5.11
S16,S,Ravel,M.,1931,Concerto in G,II 4,Pn.,Solo–Orchestra,Concerto,Asymmetric,,S16,90,3/4,-,70,92,22,4.00
S17,S,Schönberg,A.,1949,Dreimal tausend Jahre Op. 50A,,Voice,Choir,Song,Symmetric,Quasi,S17,100,6/4,-,68,75,7,6.30
S18,S,Schönberg,A.,1949,Dreimal tausend Jahre Op. 50A,,Voice,Choir,Song,Asymmetric,,S18,100,6/4,-,68,75,7,6.60
S19,S,Stravinsky,I.,1919,L’Oiseau de feu,33,Fl. I,Orchestra,,Symmetric,,S19,80,3/4,-,67,73,6,3.84
S20,S,Stravinsky,I.,1919,L’Oiseau de feu,35,Fl. I,Orchestra,,Asymmetric,,S20,80,3/4,-,66,73,7,3.75
S21,S,Webern,A.,1936,Variations Op. 27,Variation I,Pn.,Solo,Variations,Symmetric,,S21,60,3/16,-,48,77,29,2.25
S22,S,Webern,A.,1936,Variations Op. 27,Variation I,Pn.,Solo,Variations,Asymmetric,,S22,60,3/16,-,64,77,13,2.00
S23,S,Webern,A.,1936,Variations Op. 27,Variation I,Pn.,Solo,Variations,Symmetric,,S23,60,3/16,-,58,76,18,4.75
S24,S,Webern,A.,1936,Variations Op. 27,Variation I,Pn.,Solo,Variations,Asymmetric,,S24,60,3/16,-,63,83,20,4.25
